scale,dataset,sample_index,sample_id,label,d_pos,current_random4_mean,current_random4_min,pool_min,pool_mean,pool_std,pool_P10,pool_P25,top4_mean,top4_min,top4_std,opportunity_gap_mean,opportunity_gap_min,violation_fraction_pool,random4_violation_fraction,missed_confusing_negative,top4_vs_random4_ratio,top4_pool_indices,top4_pool_ids,top4_pool_labels,gt_area_ratio,gt_components,AddTP,AddFP,RemoveTP,RemoveFP,aud_iou,aud_gt_response,aud_nearfp_response,aud_gap,aud_auroc,aud_coverage,aud_precision,aud_area,aud_entropy,ogl_iou,ogl_gt_response,ogl_nearfp_response,ogl_gap,ogl_auroc,ogl_coverage,ogl_precision,ogl_area,ogl_entropy,delta_iou,group,auto_taxonomy,spatial_error,audio_condition,over_diagnosis,size_bin,size_quartile,spatial_error_manual,manual_notes
144k,vggss,10,-79qo5MUYBk_000207,train whistling,4.50075494882185e-05,0.000148880702909,6.583408685401082e-05,1.1080818694608752e-05,9.998244058806448e-05,6.551887054229155e-05,2.311890420969576e-05,4.255563908373006e-05,1.7162350559374318e-05,1.1080818694608752e-05,3.977560936618829e-06,0.0001317183487117,5.475326906889677e-05,0.28125,0.0,True,0.1152758598327636,"[339, 2471, 2096, 3453]","[""2MKPKDQcgVc_000036"", ""QHPJK945JVg_000010"", ""LhRNnXaSsCk_000030"", ""b7-9-67LlGw_000106""]","[""train wheels squealing"", ""reversing beeps"", ""driving buses"", ""chinchilla barking""]",0.2715441645408163,1,56,353,420,1850,0.3213632526730444,0.7229577302932739,0.819283127784729,-0.096325397491455,0.4031982421875,0.670605480670929,0.3815987303708653,0.4772002551020408,0.9880204590928016,0.3257100426953778,0.6677120923995972,0.7721546292304993,-0.1044425368309021,0.3899383544921875,0.6438899040222168,0.3972739211157904,0.4401108099489796,0.9856076568182328,0.0043467900223333,B_close,OVER,,,PRECISION_COVERAGE_TRADEOFF,large,Q3,,
144k,vggss,11,-7TanrCbmME_000030,child singing,7.119053043425083e-05,6.649308488704264e-05,3.560087861842476e-05,3.560087861842476e-05,7.70732294768095e-05,2.4756474886089563e-05,5.053007407695986e-05,5.865079583600164e-05,4.4683598389383405e-05,3.560087861842476e-05,5.7876268328982405e-06,2.180948649765924e-05,0.0,0.46875,0.5,False,0.6720036864280701,"[4031, 2129, 3487, 4033]","[""iWiNV03Wa6Y_000072"", ""M83C5w1YAdc_000010"", ""bcBixpb5TdI_000113"", ""iY6gP4y8Shk_000010""]","[""snake hissing"", ""people whistling"", ""pheasant crowing"", ""people hiccup""]",0.2310267857142857,1,0,2862,1969,1324,0.2904568152395043,0.6112385988235474,0.7293559312820435,-0.1181173324584961,0.316192626953125,0.5419254899024963,0.3849736487314621,0.3252152423469387,0.9909908413547152,0.1861780195113528,0.5158320665359497,0.6554992198944092,-0.1396671533584594,0.305572509765625,0.3720669448375702,0.2714798262730534,0.3166254783163265,0.987528963964892,-0.1042787957281514,C_aud_better,OVER,,,PRECISION_COVERAGE_TRADEOFF,large,Q2,,
144k,vggss,12,-7sg--aJdrc_000049,gibbon howling,2.1778674636152573e-05,2.5741612262208943e-05,1.1679957424348686e-05,6.601463155675447e-06,2.1273066522553563e-05,1.5819136024219915e-05,8.78088849276537e-06,1.239142056874698e-05,7.60943430577754e-06,6.601463155675447e-06,7.190403152890212e-07,1.813217750168405e-05,5.078494268673239e-06,0.75,0.5,False,0.2956083118915558,"[2622, 263, 2111, 1434]","[""S6R2DpF6zzM_000060"", ""1_xoCNmTn3Y_000012"", ""LwZNG7Uuu7g_000079"", ""Dvq1kY70ip4_000025""]","[""baltimore oriole calling"", ""coyote howling"", ""sheep bleating"", ""snake hissing""]",0.3795838647959184,1,934,4421,307,1564,0.5195758804006226,0.807266354560852,0.7728080749511719,0.0344582796096801,0.5876312255859375,0.9288039207458496,0.5411275274540394,0.6515266262755102,0.9953475958544428,0.4963418599609798,0.7763105034828186,0.8396369218826294,-0.0633264183998107,0.3507537841796875,0.9617242217063904,0.5063441603317208,0.7209622130102041,0.995675112417806,-0.0232340204396427,B_close,OVER,,,PERSISTENT_OVER,very_large,Q3,,
144k,vggss,13,-7tYmeOmsRg_000058,people eating crisps,9.153278369922193e-06,5.204146873438731e-05,3.550850669853389e-05,1.5738816728116944e-05,4.28501698479522e-05,2.0144540030742064e-05,1.883207914943341e-05,2.528865661588497e-05,1.6923084331210703e-05,1.5738816728116944e-05,1.026651261781808e-06,3.5118384403176606e-05,1.9769689970416948e-05,0.0,0.0,False,0.3251846134662628,"[1665, 3576, 443, 1477]","[""GvRM_UnjJoE_000030"", ""ce_9wpa4mQw_000230"", ""3Pfu7BPWvL8_000036"", ""EOKUV6hgMhM_000122""]","[""horse clip-clop"", ""sheep bleating"", ""children shouting"", ""helicopter""]",0.0917171556122449,1,258,8708,10,1042,0.1953726321611282,0.8010448217391968,0.8288476467132568,-0.02780282497406,0.468170166015625,0.9211212396621704,0.1986969157213837,0.4251833545918367,0.9947328304353996,0.1528113612369308,0.8428336381912231,0.8061728477478027,0.0366607904434204,0.6163330078125,0.975010871887207,0.1534121991247264,0.5829081632653061,0.9951172680910232,-0.0425612709241974,B_close,OVER,,,PRECISION_COVERAGE_TRADEOFF,medium,Q1,,
144k,vggss,14,-7tYmeOmsRg_000180,people eating crisps,9.325793507741764e-05,0.0001418594038113,8.502506534568965e-05,3.737262522918172e-05,0.000145345198689,4.819637615582906e-05,8.555545355193317e-05,0.0001111149031203,7.147043652366847e-05,3.737262522918172e-05,1.984365917451214e-05,7.03889672877267e-05,4.765244011650793e-05,0.1875,0.25,False,0.503811776638031,"[5055, 3337, 1414, 5011]","[""y1DgTYLdesA_000136"", ""_snV8otOVmg_000293"", ""DjqOjkoVu3M_000153"", ""xN-nKHyKx3E_000504""]","[""beat boxing"", ""squishing water"", ""alarm clock ringing"", ""playing snare drum""]",0.0803571428571428,1,0,140,1067,5911,0.2387918270654427,0.847172737121582,0.7869806289672852,0.0601921081542968,0.66180419921875,1.0,0.2387918270654427,0.3365154655612244,0.9936604053364776,0.266780637034371,0.722131609916687,0.7040951251983643,0.0180364847183227,0.5433349609375,0.7353670597076416,0.2951129690454862,0.2002351721938775,0.9921932333438604,0.0279888099689283,B_close,OVER,,,PRECISION_COVERAGE_TRADEOFF,medium,Q1,,
144k,vggss,15,-86gl1hp1Aw_000105,parrot talking,2.1099192963447425e-05,2.133239468093961e-05,1.4370253666129427e-05,7.438270131387981e-06,1.998170955630485e-05,7.128769539122004e-06,1.2729555237456223e-05,1.4628696590079926e-05,1.0197736628470013e-05,7.438270131387981e-06,1.874949703051243e-06,1.1134658052469604e-05,6.931983534741448e-06,0.5625,0.75,False,0.47803995013237,"[4729, 3532, 2250, 2126]","[""ryskM4LGrtk_000530"", ""c3OHPJY7nhA_000022"", ""NSEzNYgLuAs_000077"", ""M7NvD1WJQ7o_000070""]","[""playing tambourine"", ""snake hissing"", ""children shouting"", ""engine accelerating, revving, vroom""]",0.2704480229591837,1,23,213,381,2347,0.6475797224018706,0.8248242139816284,0.703649640083313,0.1211745738983154,0.80255126953125,0.9592483639717102,0.6658993247391037,0.3895886479591837,0.9890775525043342,0.7045694885067068,0.7899885177612305,0.6375235915184021,0.1524649262428283,0.8353729248046875,0.932866632938385,0.7422021575984991,0.3399234693877551,0.9865314350399972,0.0569897661048361,transition,GOOD,,,,large,Q3,,
144k,vggss,16,-8cgbhIR_pw_000030,playing acoustic guitar,6.768153980374336e-05,3.744103014469147e-05,3.1224455597111955e-05,1.27612456708448e-05,4.800382521352731e-05,3.169848787365481e-05,2.1119869415997528e-05,2.663089253474027e-05,1.7186403056257404e-05,1.27612456708448e-05,3.2556845326325856e-06,2.0254627088434063e-05,1.8463209926267155e-05,0.78125,1.0,False,0.4590259194374084,"[4769, 4060, 673, 1179]","[""snR9TvRupjU_000000"", ""ixscoaWEEnQ_000104"", ""63xbVEyvD24_000030"", ""BQPk4cmN__4_000030""]","[""cat caterwauling"", ""people eating crisps"", ""child singing"", ""dog barking""]",0.1356823979591837,1,1217,1679,0,1447,0.2791390558380849,0.7114825248718262,0.761603593826294,-0.0501210689544677,0.407379150390625,0.7981786131858826,0.3003371469629138,0.3605907206632653,0.9877914530265705,0.3376313518452713,0.8306487798690796,0.803112268447876,0.0275365114212036,0.580322265625,0.9769389033317566,0.3403438747313478,0.389469068877551,0.9869459192783776,0.0584922960071863,transition,OVER,,,PERSISTENT_OVER,large,Q2,,
144k,vggss,17,-A3zsFeU_OI_000030,people sniggering,3.3090411307057366e-05,4.8857968067750335e-05,1.67804719239939e-05,1.1919337339350022e-05,9.371874330099672e-05,5.973810038994998e-05,2.278581087011844e-05,3.217076664441265e-05,1.760445229592733e-05,1.1919337339350022e-05,3.807439043157501e-06,3.1253515771823004e-05,4.861134584643878e-06,0.28125,0.75,False,0.3603189587593078,"[4990, 5083, 4667, 1855]","[""wuIdKobdk7g_000017"", ""ye0GZg0oR_I_000045"", ""rCB9BicDeyE_000056"", ""InrS4Fdndr4_000000""]","[""playing bass drum"", ""yodelling"", ""alarm clock ringing"", ""fire truck siren""]",0.0735411352040816,1,17,644,111,1286,0.1472124057176011,0.7620609402656555,0.7040241956710815,0.0580367445945739,0.587188720703125,0.7563685774803162,0.1545404208194906,0.3599330357142857,0.9849586153854288,0.1472402686029371,0.7283121347427368,0.6860212683677673,0.0422908663749694,0.5407562255859375,0.7308943271636963,0.1556799815285153,0.3452646683673469,0.984176875554878,2.786288533601633e-05,B_close,OVER,,,PRECISION_COVERAGE_TRADEOFF,medium,Q1,,
144k,vggss,18,-ANxUxvGASw_000010,"subway, metro, underground",2.372336166445166e-05,4.9303223931929097e-05,3.421528890612535e-05,1.1499398169689812e-05,3.91880857932847e-05,1.719572173897177e-05,1.687342046352569e-05,2.529748780943919e-05,1.4943282621970866e-05,1.1499398169689812e-05,2.0443228549993364e-06,3.435994221945293e-05,2.271589073643554e-05,0.21875,0.0,True,0.3030893504619598,"[2166, 4828, 4865, 2678]","[""MUC3GjvBI7I_000030"", ""tnepPZChA5U_000219"", ""uInycnRkFYk_000051"", ""SmzESvmFENY_000024""]","[""horse clip-clop"", ""playing violin, fiddle"", ""snake rattling"", ""fly, housefly buzzing""]",0.0321269132653061,1,0,0,0,4575,0.0881355932203389,0.9262580871582032,0.8699154257774353,0.0563426613807678,0.6678009033203125,1.0,0.0881355932203389,0.3645169005102041,0.9897639539110058,0.1175355450236966,0.8949999809265137,0.8229779005050659,0.0720220804214477,0.6780242919921875,1.0,0.1175355450236966,0.2733378507653061,0.9855011280248224,0.0293999518033577,B_close,OVER,,,PRECISION_COVERAGE_TRADEOFF,medium,Q1,,
144k,vggss,19,-ByoSbgzr4M_000000,tapping guitar,0.0001490136346546,0.0004624416178558,0.0001474256569053,0.0001047978657879,0.0005234045675024,0.0002860542444977,0.0001572247565491,0.0002402631798759,0.000128835439682,0.0001047978657879,2.3443682948709466e-05,0.0003336061781737,4.262779111741111e-05,0.09375,0.25,False,0.27859827876091,"[1135, 4472, 2868, 4928]","[""B-1QW7g81gA_000030"", ""oYEzy8gH6q8_000030"", ""VBQPcmmUkkg_000010"", ""vchsE_Dn7mo_000147""]","[""playing mandolin"", ""tapping guitar"", ""playing harpsichord"", ""playing timbales""]",0.4448541135204081,1,2002,1901,790,41,0.3382392056033336,0.5355439186096191,0.488042414188385,0.0475015044212341,0.55169677734375,0.3418305516242981,0.9698741578746664,0.1567881058673469,0.9910168347327598,0.3621099189122778,0.4992591738700866,0.5949316024780273,-0.0956724286079406,0.4119720458984375,0.3961291909217834,0.8083005759210166,0.2180125956632653,0.9866678341898724,0.0238707133089441,B_close,GOOD,,,,very_large,Q3,,
144k,vggss,20,-CZ1LIc8aos_000020,car passing by,5.712660276913084e-05,0.0001122612738981,4.793205880559981e-05,1.566979153722059e-05,9.46555519476533e-05,7.018671021796763e-05,3.726287468452938e-05,4.18104900745675e-05,2.697755189728923e-05,1.566979153722059e-05,7.838237252144609e-06,8.528372563887388e-05,3.2262265449389815e-05,0.40625,0.25,False,0.240310400724411,"[5028, 139, 2594, 261]","[""xanOeYcQpcM_000020"", ""0K92tp-4GEk_000108"", ""Rj8hpFBBSi0_000092"", ""1_Q80fDGLRM_000010""]","[""lawn mowing"", ""bathroom ventilation fan running"", ""snake rattling"", ""dog barking""]",0.1911670918367347,1,0,0,156,6960,0.422462012772517,0.906683087348938,0.7893480062484741,0.1173350811004638,0.8923187255859375,1.0,0.422462012772517,0.4525071747448979,0.9912450477806776,0.5993013655128612,0.8448231220245361,0.6762148141860962,0.1686083078384399,0.8770904541015625,0.9837364554405212,0.6052986079928154,0.3106863839285714,0.987085314275214,0.1768393527403441,A_ogl_help,OVER,,,PRECISION_COVERAGE_TRADEOFF,large,Q2,,
144k,vggss,21,-Cr0WQoFQQs_000045,elk bugling,3.036387170141097e-05,2.7802661861642264e-05,9.42913902690634e-06,4.391106358525576e-06,2.279416912642773e-05,1.3241841770650352e-05,9.666566256782971e-06,1.4048677257960662e-05,6.826778189861216e-06,4.391106358525576e-06,2.165827936551068e-06,2.0975883671781048e-05,5.038032668380765e-06,0.78125,0.5,False,0.2455440461635589,"[4897, 2061, 2721, 4857]","[""v0a6jM7PALg_000239"", ""LCFNAzdifzU_000003"", ""TRW3OqA1cXE_000030"", ""uAcYglB_pRw_000390""]","[""dog baying"", ""people gargling"", ""playing clarinet"", ""bird wings flapping""]",0.1284279336734693,2,0,15,0,2547,0.3857989582709692,0.8778316974639893,0.7505871057510376,0.1272445917129516,0.8701019287109375,1.0,0.3857989582709692,0.3328882334183674,0.98646711244348,0.4547314938959848,0.8570449352264404,0.6963419914245605,0.1607029438018798,0.9144134521484376,1.0,0.4547314938959848,0.2824258609693877,0.9819654999318692,0.0689325356250155,transition,OVER,,,CALIBRATION_RECOVERABLE,large,Q2,,
144k,vggss,22,-Cv3gOXEoxA_000040,fox barking,3.0702256481163204e-05,3.74318624380976e-05,1.6187657820410095e-05,1.6187657820410095e-05,4.120857920497656e-05,1.784130472515244e-05,2.349955502722878e-05,3.000807919306681e-05,2.104452323692385e-05,1.6187657820410095e-05,2.859175083358423e-06,1.6387339201173745e-05,0.0,0.25,0.25,False,0.5622088313102722,"[3524, 1186, 2779, 1042]","[""bzHZ7yvmVMk_000138"", ""BT2JPFpMrzM_000002"", ""UAlfXv5Aabc_000046"", ""ACjLm_tKyu8_000060""]","[""dinosaurs bellowing"", ""lions growling"", ""air conditioning noise"", ""electric grinder grinding""]",0.1259765625,1,0,0,116,3924,0.2838128176911387,0.7835922241210938,0.8161643743515015,-0.0325721502304077,0.4620513916015625,0.8568264245986938,0.2979425679392672,0.3622847576530612,0.9867830861847284,0.3496272841216439,0.7857584953308105,0.7818453311920166,0.0039131641387939,0.5549468994140625,0.8384749293327332,0.3748762201159994,0.2817681760204081,0.9806980804410392,0.0658144664305052,transition,OVER,,,PRECISION_COVERAGE_TRADEOFF,large,Q2,,
144k,vggss,23,-D64b_8YJK4_000046,barn swallow calling,6.121195383457234e-06,4.368754889583215e-05,3.357940659043379e-05,4.626644567906624e-06,9.966204379452392e-05,9.603540820535272e-05,1.526189771539066e-05,2.4489283532602716e-05,1.2161945051047953e-05,4.626644567906624e-06,4.357004399935249e-06,3.15256038447842e-05,2.8952761567779817e-05,0.03125,0.0,True,0.2783846855163574,"[2648, 1061, 2028, 1231]","[""SSor5MN-QJM_000056"", ""AKmkhvb9shk_000000"", ""KuLE8odpCc8_000100"", ""Bw_fNvTp6jg_000030""]","[""barn swallow calling"", ""baltimore oriole calling"", ""typing on computer keyboard"", ""engine accelerating, revving, vroom""]",0.1353236607142857,2,0,0,0,3471,0.2640790292470442,0.887546718120575,0.834946870803833,0.0525998473167419,0.730865478515625,1.0,0.2640790292470442,0.5124362244897959,0.9812387427043688,0.3052920282361404,0.8674662709236145,0.7825802564620972,0.0848860144615173,0.8130035400390625,1.0,0.3052920282361404,0.4432597257653061,0.9741972687617813,0.0412129989890962,B_close,OVER,,,PRECISION_COVERAGE_TRADEOFF,large,Q2,,
