scale,dataset,sample_index,sample_id,label,d_pos,current_random4_mean,current_random4_min,pool_min,pool_mean,pool_std,pool_P10,pool_P25,top4_mean,top4_min,top4_std,opportunity_gap_mean,opportunity_gap_min,violation_fraction_pool,random4_violation_fraction,missed_confusing_negative,top4_vs_random4_ratio,top4_pool_indices,top4_pool_ids,top4_pool_labels
144k,vggss,10,-79qo5MUYBk_000207,train whistling,4.50075494882185e-05,0.00014888070290908217,6.583408685401082e-05,1.1080818694608752e-05,9.998244058806449e-05,6.551887054229155e-05,2.3118904209695756e-05,4.255563908373006e-05,1.7162350559374318e-05,1.1080818694608752e-05,3.977560936618829e-06,0.00013171834871172905,5.475326906889677e-05,0.28125,0.0,True,0.11527585983276367,"[339, 2471, 2096, 3453]","[""2MKPKDQcgVc_000036"", ""QHPJK945JVg_000010"", ""LhRNnXaSsCk_000030"", ""b7-9-67LlGw_000106""]","[""train wheels squealing"", ""reversing beeps"", ""driving buses"", ""chinchilla barking""]"
144k,vggss,11,-7TanrCbmME_000030,child singing,7.119053043425083e-05,6.649308488704264e-05,3.560087861842476e-05,3.560087861842476e-05,7.70732294768095e-05,2.4756474886089563e-05,5.053007407695986e-05,5.8650795836001635e-05,4.4683598389383405e-05,3.560087861842476e-05,5.7876268328982405e-06,2.1809486497659236e-05,0.0,0.46875,0.5,False,0.6720036864280701,"[4031, 2129, 3487, 4033]","[""iWiNV03Wa6Y_000072"", ""M83C5w1YAdc_000010"", ""bcBixpb5TdI_000113"", ""iY6gP4y8Shk_000010""]","[""snake hissing"", ""people whistling"", ""pheasant crowing"", ""people hiccup""]"
144k,vggss,12,-7sg--aJdrc_000049,gibbon howling,2.1778674636152573e-05,2.5741612262208946e-05,1.1679957424348686e-05,6.601463155675447e-06,2.1273066522553563e-05,1.5819136024219915e-05,8.78088849276537e-06,1.239142056874698e-05,7.6094343057775404e-06,6.601463155675447e-06,7.190403152890212e-07,1.8132177501684055e-05,5.078494268673239e-06,0.75,0.5,False,0.2956083118915558,"[2622, 263, 2111, 1434]","[""S6R2DpF6zzM_000060"", ""1_xoCNmTn3Y_000012"", ""LwZNG7Uuu7g_000079"", ""Dvq1kY70ip4_000025""]","[""baltimore oriole calling"", ""coyote howling"", ""sheep bleating"", ""snake hissing""]"
144k,vggss,13,-7tYmeOmsRg_000058,people eating crisps,9.153278369922191e-06,5.204146873438731e-05,3.550850669853389e-05,1.5738816728116944e-05,4.28501698479522e-05,2.0144540030742064e-05,1.883207914943341e-05,2.5288656615884975e-05,1.6923084331210703e-05,1.5738816728116944e-05,1.026651261781808e-06,3.5118384403176606e-05,1.9769689970416948e-05,0.0,0.0,False,0.3251846134662628,"[1665, 3576, 443, 1477]","[""GvRM_UnjJoE_000030"", ""ce_9wpa4mQw_000230"", ""3Pfu7BPWvL8_000036"", ""EOKUV6hgMhM_000122""]","[""horse clip-clop"", ""sheep bleating"", ""children shouting"", ""helicopter""]"
144k,vggss,14,-7tYmeOmsRg_000180,people eating crisps,9.325793507741764e-05,0.00014185940381139517,8.502506534568965e-05,3.737262522918172e-05,0.00014534519868902862,4.819637615582906e-05,8.555545355193317e-05,0.00011111490312032402,7.147043652366847e-05,3.737262522918172e-05,1.984365917451214e-05,7.03889672877267e-05,4.765244011650793e-05,0.1875,0.25,False,0.503811776638031,"[5055, 3337, 1414, 5011]","[""y1DgTYLdesA_000136"", ""_snV8otOVmg_000293"", ""DjqOjkoVu3M_000153"", ""xN-nKHyKx3E_000504""]","[""beat boxing"", ""squishing water"", ""alarm clock ringing"", ""playing snare drum""]"
144k,vggss,15,-86gl1hp1Aw_000105,parrot talking,2.1099192963447422e-05,2.1332394680939615e-05,1.4370253666129429e-05,7.438270131387981e-06,1.998170955630485e-05,7.128769539122004e-06,1.2729555237456225e-05,1.4628696590079926e-05,1.0197736628470011e-05,7.438270131387981e-06,1.874949703051243e-06,1.1134658052469604e-05,6.931983534741448e-06,0.5625,0.75,False,0.47803995013237,"[4729, 3532, 2250, 2126]","[""ryskM4LGrtk_000530"", ""c3OHPJY7nhA_000022"", ""NSEzNYgLuAs_000077"", ""M7NvD1WJQ7o_000070""]","[""playing tambourine"", ""snake hissing"", ""children shouting"", ""engine accelerating, revving, vroom""]"
144k,vggss,16,-8cgbhIR_pw_000030,playing acoustic guitar,6.768153980374336e-05,3.744103014469147e-05,3.1224455597111955e-05,1.27612456708448e-05,4.800382521352731e-05,3.169848787365481e-05,2.1119869415997528e-05,2.663089253474027e-05,1.7186403056257404e-05,1.27612456708448e-05,3.2556845326325856e-06,2.0254627088434063e-05,1.8463209926267155e-05,0.78125,1.0,False,0.45902591943740845,"[4769, 4060, 673, 1179]","[""snR9TvRupjU_000000"", ""ixscoaWEEnQ_000104"", ""63xbVEyvD24_000030"", ""BQPk4cmN__4_000030""]","[""cat caterwauling"", ""people eating crisps"", ""child singing"", ""dog barking""]"
144k,vggss,17,-A3zsFeU_OI_000030,people sniggering,3.3090411307057366e-05,4.8857968067750335e-05,1.67804719239939e-05,1.1919337339350022e-05,9.371874330099672e-05,5.973810038994998e-05,2.278581087011844e-05,3.217076664441265e-05,1.760445229592733e-05,1.1919337339350022e-05,3.807439043157501e-06,3.1253515771823004e-05,4.861134584643878e-06,0.28125,0.75,False,0.36031895875930786,"[4990, 5083, 4667, 1855]","[""wuIdKobdk7g_000017"", ""ye0GZg0oR_I_000045"", ""rCB9BicDeyE_000056"", ""InrS4Fdndr4_000000""]","[""playing bass drum"", ""yodelling"", ""alarm clock ringing"", ""fire truck siren""]"
144k,vggss,18,-ANxUxvGASw_000010,"subway, metro, underground",2.372336166445166e-05,4.9303223931929097e-05,3.421528890612535e-05,1.1499398169689812e-05,3.91880857932847e-05,1.719572173897177e-05,1.687342046352569e-05,2.529748780943919e-05,1.4943282621970866e-05,1.1499398169689812e-05,2.0443228549993364e-06,3.435994221945293e-05,2.271589073643554e-05,0.21875,0.0,True,0.30308935046195984,"[2166, 4828, 4865, 2678]","[""MUC3GjvBI7I_000030"", ""tnepPZChA5U_000219"", ""uInycnRkFYk_000051"", ""SmzESvmFENY_000024""]","[""horse clip-clop"", ""playing violin, fiddle"", ""snake rattling"", ""fly, housefly buzzing""]"
144k,vggss,19,-ByoSbgzr4M_000000,tapping guitar,0.0001490136346546933,0.0004624416178558022,0.00014742565690539777,0.00010479786578798667,0.000523404567502439,0.00028605424449779093,0.0001572247565491125,0.00024026317987591028,0.00012883543968200684,0.00010479786578798667,2.3443682948709466e-05,0.00033360617817379534,4.262779111741111e-05,0.09375,0.25,False,0.27859827876091003,"[1135, 4472, 2868, 4928]","[""B-1QW7g81gA_000030"", ""oYEzy8gH6q8_000030"", ""VBQPcmmUkkg_000010"", ""vchsE_Dn7mo_000147""]","[""playing mandolin"", ""tapping guitar"", ""playing harpsichord"", ""playing timbales""]"
144k,vggss,20,-CZ1LIc8aos_000020,car passing by,5.712660276913084e-05,0.0001122612738981843,4.793205880559981e-05,1.566979153722059e-05,9.46555519476533e-05,7.018671021796763e-05,3.726287468452938e-05,4.18104900745675e-05,2.697755189728923e-05,1.566979153722059e-05,7.838237252144609e-06,8.528372563887388e-05,3.2262265449389815e-05,0.40625,0.25,False,0.240310400724411,"[5028, 139, 2594, 261]","[""xanOeYcQpcM_000020"", ""0K92tp-4GEk_000108"", ""Rj8hpFBBSi0_000092"", ""1_Q80fDGLRM_000010""]","[""lawn mowing"", ""bathroom ventilation fan running"", ""snake rattling"", ""dog barking""]"
144k,vggss,21,-Cr0WQoFQQs_000045,elk bugling,3.036387170141097e-05,2.7802661861642264e-05,9.429139026906341e-06,4.391106358525576e-06,2.2794169126427732e-05,1.3241841770650353e-05,9.666566256782971e-06,1.4048677257960662e-05,6.826778189861216e-06,4.391106358525576e-06,2.165827936551068e-06,2.0975883671781048e-05,5.038032668380765e-06,0.78125,0.5,False,0.24554404616355896,"[4897, 2061, 2721, 4857]","[""v0a6jM7PALg_000239"", ""LCFNAzdifzU_000003"", ""TRW3OqA1cXE_000030"", ""uAcYglB_pRw_000390""]","[""dog baying"", ""people gargling"", ""playing clarinet"", ""bird wings flapping""]"
144k,vggss,22,-Cv3gOXEoxA_000040,fox barking,3.0702256481163204e-05,3.7431862438097596e-05,1.6187657820410095e-05,1.6187657820410095e-05,4.120857920497656e-05,1.784130472515244e-05,2.349955502722878e-05,3.0008079193066806e-05,2.104452323692385e-05,1.6187657820410095e-05,2.859175083358423e-06,1.6387339201173745e-05,0.0,0.25,0.25,False,0.5622088313102722,"[3524, 1186, 2779, 1042]","[""bzHZ7yvmVMk_000138"", ""BT2JPFpMrzM_000002"", ""UAlfXv5Aabc_000046"", ""ACjLm_tKyu8_000060""]","[""dinosaurs bellowing"", ""lions growling"", ""air conditioning noise"", ""electric grinder grinding""]"
144k,vggss,23,-D64b_8YJK4_000046,barn swallow calling,6.121195383457234e-06,4.368754889583215e-05,3.357940659043379e-05,4.626644567906624e-06,9.966204379452392e-05,9.603540820535272e-05,1.526189771539066e-05,2.4489283532602713e-05,1.2161945051047951e-05,4.626644567906624e-06,4.357004399935249e-06,3.15256038447842e-05,2.8952761567779817e-05,0.03125,0.0,True,0.2783846855163574,"[2648, 1061, 2028, 1231]","[""SSor5MN-QJM_000056"", ""AKmkhvb9shk_000000"", ""KuLE8odpCc8_000100"", ""Bw_fNvTp6jg_000030""]","[""barn swallow calling"", ""baltimore oriole calling"", ""typing on computer keyboard"", ""engine accelerating, revving, vroom""]"
144k,vggss,24,-E5o64ACjm0_000017,lathe spinning,4.061292565893382e-05,0.00010284873133059591,7.282544538611546e-05,2.6331035769544542e-05,0.00010907831892836839,5.4136544349603355e-05,5.4007487051421776e-05,6.874456448713318e-05,4.1497118218103424e-05,2.6331035769544542e-05,9.840210623224266e-06,6.13516167504713e-05,4.649440961657092e-05,0.0625,0.0,True,0.40347719192504883,"[3666, 4073, 2177, 3349]","[""dqu_dkIqqrw_000085"", ""j6s-UMrMIE8_000190"", ""M_3Mk2nMydQ_000030"", ""a1THgU6-Wj0_000440""]","[""lathe spinning"", ""snake hissing"", ""vacuum cleaner cleaning floors"", ""tractor digging""]"
144k,vggss,25,-FoTxwPOz3U_000000,"child speech, kid speaking",2.8894670322188176e-05,9.187286923406646e-05,6.40031648799777e-05,1.3304828826221637e-05,7.24512356100604e-05,3.314969944767654e-05,3.800321064773016e-05,4.5006905565969646e-05,2.699545439099893e-05,1.3304828826221637e-05,9.404989214090165e-06,6.487741484306753e-05,5.069833423476666e-05,0.0625,0.0,True,0.2938348948955536,"[4234, 4739, 2356, 4433]","[""lF1C6JSDZJU_000209"", ""s9GDIk99v54_000045"", ""OkAT5LKBbIE_000190"", ""ny11DBcW3hI_000019""]","[""disc scratching"", ""playing bassoon"", ""dog bow-wow"", ""playing timbales""]"
144k,vggss,26,-GOaBCyC5Js_000087,playing cornet,1.8837881725630723e-05,5.49901815247722e-05,1.5716912457719445e-05,1.5404404621222056e-05,6.89853259245865e-05,3.736937287612818e-05,2.4644983568578027e-05,4.143650585319847e-05,1.991592944250442e-05,1.5404404621222056e-05,4.3569111767283175e-06,3.5074252082267776e-05,3.125078364973888e-07,0.0625,0.25,False,0.3621724545955658,"[1685, 4475, 3043, 1135]","[""HALbfdYE3hM_000215"", ""oaKEAU7SoCE_000030"", ""XIohMvtR0Og_000030"", ""B-1QW7g81gA_000030""]","[""playing oboe"", ""playing harmonica"", ""people shuffling"", ""playing mandolin""]"
144k,vggss,27,-GW1J75oAKU_000304,"playing violin, fiddle",1.604492535989266e-05,0.00020366102398838848,0.0001421912747900933,1.8552995243226178e-05,0.00019838017760775983,0.00010661245323717594,5.938664253335446e-05,0.00011948715837206692,4.286885086912662e-05,1.8552995243226178e-05,1.5114470443222672e-05,0.00016079217311926186,0.00012363828136585653,0.0,0.0,False,0.21049119532108307,"[4385, 661, 126, 743]","[""nCqe6N5e__0_000000"", ""5uUROIui4Z0_000002"", ""0E6KS8B6DMc_000540"", ""6mbQDmij4oQ_000010""]","[""playing oboe"", ""ice cream truck, ice cream van"", ""playing bass drum"", ""playing washboard""]"
144k,vggss,28,-HMEhGV38GM_000216,playing congas,0.00012960330059286207,8.222891483455896e-05,7.517918857047334e-05,2.4735836632316932e-05,8.802468073554337e-05,3.385528179933317e-05,4.2110907088499516e-05,7.338736759265885e-05,3.50498958141543e-05,2.4735836632316932e-05,6.329217285383493e-06,4.717901902040467e-05,5.044335193815641e-05,0.90625,1.0,False,0.42624783515930176,"[4336, 587, 2138, 2916]","[""mcrf1Mb99d4_000068"", ""55L7peYRB_Q_000120"", ""MDa1ZVdDz2Y_000060"", ""VmYPBzrkKGw_000140""]","[""playing tympani"", ""using sewing machines"", ""splashing water"", ""playing oboe""]"
144k,vggss,29,-IKnJa9U66I_000150,using sewing machines,7.137099601095542e-05,0.00012384491856209934,8.032109326450154e-05,4.711619112640619e-05,0.0001255246897926554,4.702881051343866e-05,7.062817894620821e-05,8.648340008221567e-05,5.9120146033819765e-05,4.711619112640619e-05,9.267014320357703e-06,6.472477252827957e-05,3.320490213809535e-05,0.125,0.0,True,0.477372407913208,"[3340, 1215, 3187, 1796]","[""_w8u8H6TP_o_000000"", ""BioGVnRl7OE_000127"", ""ZECeW7EAQtM_000010"", ""IFclJMPODCA_000221""]","[""reversing beeps"", ""barn swallow calling"", ""driving buses"", ""blowtorch igniting""]"
144k,vggss,30,-Igq1W20Gi8_000000,people whistling,4.0687282307771966e-05,5.8390418416820467e-05,3.951749386033043e-05,9.716606655274518e-06,4.399879617267288e-05,2.8829063012381084e-05,1.6192916518775746e-05,2.3378765035886317e-05,1.1943173376494087e-05,9.716606655274518e-06,2.5162928523059236e-06,4.644724685931578e-05,2.9800887205055915e-05,0.59375,0.25,False,0.204539954662323,"[376, 4475, 639, 969]","[""2g5hx_rynAI_000035"", ""oaKEAU7SoCE_000030"", ""5g20l907PQM_000028"", ""9TzyRdTYDvo_000024""]","[""playing shofar"", ""playing harmonica"", ""playing djembe"", ""dog growling""]"
144k,vggss,31,-JGpAlLrSD0_000458,train whistling,2.6676152629079297e-05,3.242900493205525e-05,1.4691692740598228e-05,1.4691692740598228e-05,4.316496051615104e-05,1.8989887394127436e-05,2.093588591378648e-05,2.8297396056586877e-05,1.8697750419960357e-05,1.4691692740598228e-05,2.391108637311845e-06,1.3731254512094893e-05,0.0,0.15625,0.25,False,0.5765749216079712,"[806, 2309, 3049, 580]","[""7Soo7mXCnq0_000063"", ""O8DtnVJN_dY_000030"", ""XQXsAZJqDig_000030"", ""5-FHy1Q61n8_000114""]","[""airplane flyby"", ""fire truck siren"", ""pigeon, dove cooing"", ""dog baying""]"
144k,vggss,32,-JUBdOr8Hes_000030,playing accordion,1.4313477549876552e-05,3.636785186245106e-05,2.264336944790557e-05,1.6698166291462258e-05,4.5908382162451744e-05,1.845302904257551e-05,2.2709962649969384e-05,2.9430886570480652e-05,1.9824947230517864e-05,1.6698166291462258e-05,2.2171429918671492e-06,1.6542904631933197e-05,5.945203156443313e-06,0.0,0.0,False,0.5451228618621826,"[1482, 1640, 311, 2510]","[""EQKs1YLMUuI_000004"", ""GhEPMDQZ174_000030"", ""253aGgk7NSE_000010"", ""Qm8bAH-0y3E_000024""]","[""playing oboe"", ""playing harpsichord"", ""playing bugle"", ""yodelling""]"
144k,vggss,33,-JUhUI_KvUI_000026,gibbon howling,8.833909305394627e-06,1.4627876225858927e-05,9.004857020045165e-06,5.405323008744745e-06,1.786322900443338e-05,1.0558110261627007e-05,8.322927897097543e-06,1.0524252502364106e-05,6.602046596526634e-06,5.405323008744745e-06,1.1066766774092684e-06,8.025829629332293e-06,3.5995340113004204e-06,0.1875,0.0,True,0.451333224773407,"[2966, 2579, 846, 120]","[""WTQhmOYZNJQ_000024"", ""RZlDaLFuxxQ_000046"", ""80Lqw4-iQXI_000001"", ""077aWlQn6XI_000030""]","[""people booing"", ""chipmunk chirping"", ""turkey gobbling"", ""reversing beeps""]"
144k,vggss,34,-K-ccLMFE5M_000259,people marching,3.835771349258721e-05,1.882534343167208e-05,1.0828240192495286e-05,6.7885080170526635e-06,2.6332298148190603e-05,1.5488965800614096e-05,1.0470178494870197e-05,1.5149540558923036e-05,8.005641575437039e-06,6.7885080170526635e-06,1.4681019138151896e-06,1.0819701856235042e-05,4.039732175442623e-06,0.8125,1.0,False,0.42525872588157654,"[795, 3830, 2931, 451]","[""7OqsePnrOSo_000061"", ""ftxxMmqrYQ8_000003"", ""W1VYWwYdJRQ_000370"", ""3T3hm1hHCto_000228""]","[""magpie calling"", ""snake rattling"", ""chainsawing trees"", ""snake rattling""]"
144k,vggss,35,-K1BRF6qng8_000030,female singing,4.566996722132899e-05,4.460292257135734e-05,1.7361051504849456e-05,1.6243777281488292e-05,4.4603664719033986e-05,2.516828135412652e-05,2.2516802346217446e-05,2.544434755691327e-05,1.8881088180933148e-05,1.6243777281488292e-05,2.37403628489119e-06,2.5721834390424192e-05,1.1172742233611643e-06,0.65625,0.5,False,0.42331504821777344,"[4680, 4827, 4762, 1181]","[""rNQ0EBdxPvM_000030"", ""tm0Em1IlvsA_000318"", ""sbkfFiRlJXc_000021"", ""BR3U7WaCP-4_000005""]","[""using sewing machines"", ""people eating apple"", ""owl hooting"", ""people nose blowing""]"
144k,vggss,36,-KBH8YmHR-0_000050,snake rattling,2.2826136046205647e-05,2.9096911021042615e-05,2.272723759233486e-05,1.3253881661512423e-05,2.8896280127810314e-05,9.480920198257081e-06,1.89166657946771e-05,2.1006067981943488e-05,1.705438262433745e-05,1.3253881661512423e-05,2.2343620003084652e-06,1.2042528396705166e-05,9.473355930822436e-06,0.34375,0.25,False,0.5861234664916992,"[2657, 3054, 2737, 4522]","[""SXeSsEP3ieo_000145"", ""XUCh79kkapE_000049"", ""TdGJdqDxrNc_000091"", ""pKG3RMK__dc_000110""]","[""elk bugling"", ""penguins braying"", ""baltimore oriole calling"", ""car passing by""]"
144k,vggss,37,-Lmibx_Iu_E_000173,tractor digging,1.4312821804196574e-05,1.7793096048990265e-05,7.432290203723824e-06,5.412689915829105e-06,2.0189683709759265e-05,1.470069128117757e-05,8.06603111414006e-06,1.1402214113331866e-05,6.959916390769649e-06,5.412689915829105e-06,9.76664523477666e-07,1.0833179658220615e-05,2.0196002878947183e-06,0.4375,0.25,False,0.39115825295448303,"[2839, 4119, 2074, 2086]","[""UrluLxHLwQM_000110"", ""jqqjc0XrU58_000092"", ""LN92tji7ADA_000002"", ""LataVY-O5FA_000063""]","[""toilet flushing"", ""playing djembe"", ""opening or closing car electric windows"", ""disc scratching""]"
144k,vggss,38,-Lv13WPa4xk_000170,airplane flyby,1.7802114598453045e-05,6.262346141738817e-05,4.053196244058199e-05,7.783105502312537e-06,4.322259337641299e-05,2.677051816135645e-05,1.6608120859018527e-05,2.1659250705852173e-05,1.3875862350687385e-05,7.783105502312537e-06,3.5631487662612926e-06,4.8747599066700786e-05,3.274885602877475e-05,0.15625,0.0,True,0.22157609462738037,"[3850, 2036, 4670, 2959]","[""g3J2VYx8zYE_000060"", ""Kz4SvP0c_VE_000019"", ""rI99Dvpxo2w_000131"", ""WLX3Db60418_000020""]","[""train whistling"", ""magpie calling"", ""train whistling"", ""driving motorcycle""]"
144k,vggss,39,-N00SskHxS4_000529,playing bugle,1.4015725355420727e-05,0.00011557925608940423,3.354161526658572e-05,5.223579137236811e-06,0.00011001852544723079,5.92612886975985e-05,4.943719977745786e-05,6.695209594909102e-05,2.353519812459126e-05,5.223579137236811e-06,1.872280154202599e-05,9.204405796481296e-05,2.831803612934891e-05,0.0625,0.0,True,0.20362821221351624,"[2038, 4535, 34, 286]","[""KzvdKLdBw3s_000060"", ""pUn8YqN2meU_000059"", ""-K-ccLMFE5M_000259"", ""1obzCbmFpa8_000410""]","[""female speech, woman speaking"", ""playing cornet"", ""people marching"", ""people giggling""]"
144k,vggss,40,-NCa3eFLULw_000221,dinosaurs bellowing,1.7424532416043803e-05,1.8472519514034502e-05,1.4083112546359189e-05,1.1144404197693802e-05,2.8476486477302387e-05,2.168387800338678e-05,1.2955862985108979e-05,1.4231751265469939e-05,1.2266155863471795e-05,1.1144404197693802e-05,6.868842774565564e-07,6.206363650562707e-06,2.9387083486653864e-06,0.4375,0.5,False,0.6640217900276184,"[4976, 2433, 1689, 4162]","[""wgT4rbZ5kvc_000022"", ""PlF1Z9YWZck_000075"", ""HDWZu2roOgU_000032"", ""kQ7tkcg8Xag_000300""]","[""people burping"", ""elephant trumpeting"", ""people giggling"", ""people marching""]"
