scale,dataset,sample_id,sample_index,rank,candidate_index,candidate_id,candidate_label,distance,is_same_label,is_random4
10k,flickr,10119736773,20,3,108,13579448834,_,4.3555206730161444e-07,True,False
10k,flickr,10119736773,20,4,109,13660204414,_,4.5245906221680343e-07,True,False
10k,flickr,10129791115,21,1,79,11002352834,_,9.729972134664422e-07,True,False
10k,flickr,10129791115,21,2,70,10796050285,_,1.0382176469647675e-06,True,False
10k,flickr,10129791115,21,3,24,10165890496,_,1.125237417909375e-06,True,False
10k,flickr,10129791115,21,4,222,5873098388,_,1.135934553531115e-06,True,False
10k,flickr,10129813456,22,1,217,5490101320,_,2.1672467482858337e-06,True,False
10k,flickr,10129813456,22,2,16,10109936483,_,2.331049699932919e-06,True,False
10k,flickr,10129813456,22,3,32,10283938426,_,2.343383584957337e-06,True,False
10k,flickr,10129813456,22,4,72,10847897294,_,2.4291025511047337e-06,True,False
10k,flickr,10163352444,23,1,48,10476446674,_,1.134314516093582e-06,True,True
10k,flickr,10163352444,23,2,36,10369815925,_,1.2260409221198643e-06,True,True
10k,flickr,10163352444,23,3,49,10477544895,_,1.244550958290347e-06,True,False
10k,flickr,10163352444,23,4,123,14778198185,_,1.2939627822561306e-06,True,False
10k,flickr,10165890496,24,1,117,14566072101,_,1.2428092759364517e-06,True,False
10k,flickr,10165890496,24,2,73,10859255295,_,1.3918577224103501e-06,True,False
10k,flickr,10165890496,24,3,52,10545790805,_,1.4106540220382158e-06,True,True
10k,flickr,10165890496,24,4,14,10080652613,_,1.578316528139112e-06,True,False
10k,flickr,10173808724,25,1,70,10796050285,_,6.828200298514275e-07,True,False
10k,flickr,10173808724,25,2,113,14172932360,_,7.016014933469705e-07,True,False
10k,flickr,10173808724,25,3,146,2465634368,_,7.51103641505324e-07,True,False
10k,flickr,10173808724,25,4,224,5991393107,_,7.523414069510181e-07,True,False
10k,flickr,10202025415,26,1,146,2465634368,_,4.8872275328903925e-06,True,False
10k,flickr,10202025415,26,2,27,10221582415,_,4.890604486718075e-06,True,False
10k,flickr,10202025415,26,3,225,6067281197,_,4.99441557622049e-06,True,False
10k,flickr,10202025415,26,4,167,3102685146,_,4.998649728804594e-06,True,False
10k,flickr,10221582415,27,1,126,15210828119,_,3.5507152915670304e-06,True,False
10k,flickr,10221582415,27,2,29,10246013484,_,3.619862127379747e-06,True,False
10k,flickr,10221582415,27,3,173,3413119417,_,4.091076334589161e-06,True,True
10k,flickr,10221582415,27,4,114,14174434304,_,4.15087015426252e-06,True,False
10k,flickr,10234680056,28,1,70,10796050285,_,2.7262810817774152e-06,True,False
10k,flickr,10234680056,28,2,96,12328837165,_,3.0395128760574153e-06,True,False
10k,flickr,10234680056,28,3,150,2630218696,_,3.1168042369245086e-06,True,False
10k,flickr,10234680056,28,4,179,3709678770,_,3.1837914775678655e-06,True,False
10k,flickr,10246013484,29,1,108,13579448834,_,3.2339537483494496e-06,True,False
10k,flickr,10246013484,29,2,79,11002352834,_,3.3649596389295766e-06,True,False
10k,flickr,10246013484,29,3,131,16101081359,_,3.385175205039559e-06,True,False
10k,flickr,10246013484,29,4,15,10106776154,_,3.442431534494972e-06,True,False
10k,flickr,10268129763,30,1,231,6669466181,_,7.439164619427174e-06,True,False
10k,flickr,10268129763,30,2,220,5697766486,_,7.518592155975057e-06,True,False
10k,flickr,10268129763,30,3,78,10980225216,_,7.723960152361542e-06,True,False
10k,flickr,10268129763,30,4,233,6897499873,_,7.745154107396957e-06,True,False
10k,flickr,10278084464,31,1,216,5480070309,_,2.110409695887938e-06,True,True
10k,flickr,10278084464,31,2,159,2895192729,_,2.172227596020093e-06,True,False
10k,flickr,10278084464,31,3,191,4180455681,_,2.190228315157583e-06,True,False
10k,flickr,10278084464,31,4,141,20854461578,_,2.207830448242021e-06,True,False
10k,flickr,10283938426,32,1,118,14648401332,_,9.650703987063025e-07,True,True
10k,flickr,10283938426,32,2,75,10939270325,_,9.6962571660697e-07,True,False
10k,flickr,10283938426,32,3,96,12328837165,_,9.787981980480254e-07,True,False
10k,flickr,10283938426,32,4,168,3109408703,_,1.009709990285046e-06,True,False
10k,flickr,10289643764,33,1,56,10557361454,_,2.5116491997323465e-06,True,False
10k,flickr,10289643764,33,2,77,10979853044,_,2.54961992141034e-06,True,False
10k,flickr,10289643764,33,3,193,4351373013,_,2.6142811293539125e-06,True,False
10k,flickr,10289643764,33,4,239,7740990330,_,2.6333068490203004e-06,True,False
10k,flickr,10304554474,34,1,8,10045181004,_,9.148038770945277e-07,True,False
10k,flickr,10304554474,34,2,42,10440265465,_,9.426952942703792e-07,True,False
10k,flickr,10304554474,34,3,33,10289643764,_,9.796630138225737e-07,True,False
10k,flickr,10304554474,34,4,115,14203929291,_,1.078129344023182e-06,True,True
10k,flickr,10308472565,35,1,136,16804898716,_,2.884990408347221e-06,True,False
10k,flickr,10308472565,35,2,223,5906878321,_,3.0556043384422082e-06,True,True
10k,flickr,10308472565,35,3,34,10304554474,_,3.076663915635436e-06,True,False
10k,flickr,10308472565,35,4,88,11765015695,_,3.182810814905679e-06,True,False
10k,flickr,10369815925,36,1,111,13861270725,_,2.520323050703155e-06,True,False
10k,flickr,10369815925,36,2,51,10520382525,_,2.6015973162429873e-06,True,False
10k,flickr,10369815925,36,3,113,14172932360,_,2.61859145211929e-06,True,False
10k,flickr,10369815925,36,4,231,6669466181,_,2.682920012375689e-06,True,False
10k,flickr,10389014583,37,1,105,13234495505,_,8.96264452876494e-07,True,False
10k,flickr,10389014583,37,2,7,10035917404,_,9.538430276734289e-07,True,False
10k,flickr,10389014583,37,3,131,16101081359,_,1.0186295185121708e-06,True,False
10k,flickr,10389014583,37,4,208,5006362787,_,1.0488795396668138e-06,True,True
10k,flickr,10409146004,38,1,11,10067897816,_,1.583115022185666e-06,True,False
10k,flickr,10409146004,38,2,112,14062380939,_,1.6096175841084914e-06,True,False
10k,flickr,10409146004,38,3,134,16563757295,_,1.6399422975155176e-06,True,True
10k,flickr,10409146004,38,4,116,14414061986,_,1.645945758355083e-06,True,False
10k,flickr,10409351364,39,1,0,10000130166,_,5.469479219755158e-06,True,False
10k,flickr,10409351364,39,2,209,5130986168,_,5.616091584670357e-06,True,False
10k,flickr,10409351364,39,3,167,3102685146,_,5.640807103191037e-06,True,False
10k,flickr,10409351364,39,4,59,10635080206,_,5.664569471264258e-06,True,False
10k,flickr,10413912845,40,1,216,5480070309,_,5.0292760533920955e-06,True,False
10k,flickr,10413912845,40,2,223,5906878321,_,5.197558948566439e-06,True,False
10k,flickr,10413912845,40,3,68,10771238614,_,5.520574632100761e-06,True,False
10k,flickr,10413912845,40,4,154,2778088729,_,5.884834990865784e-06,True,False
10k,flickr,10437048305,41,1,128,15799251138,_,3.1242200293490896e-06,True,False
10k,flickr,10437048305,41,2,52,10545790805,_,3.1506845061812783e-06,True,False
10k,flickr,10437048305,41,3,155,2808068937,_,3.367012823218829e-06,True,False
10k,flickr,10437048305,41,4,199,4657718822,_,3.381712076588883e-06,True,False
10k,flickr,10440265465,42,1,182,3749326537,_,2.1448740881169215e-06,True,False
10k,flickr,10440265465,42,2,184,3801318146,_,2.4062476313702064e-06,True,True
10k,flickr,10440265465,42,3,215,5344317532,_,2.6148170491069322e-06,True,False
10k,flickr,10440265465,42,4,52,10545790805,_,2.9329823973966995e-06,True,False
10k,flickr,10441843213,43,1,222,5873098388,_,2.4160397060768446e-06,True,False
10k,flickr,10441843213,43,2,157,2819123278,_,2.4984140054584714e-06,True,True
10k,flickr,10441843213,43,3,26,10202025415,_,2.6804254957824014e-06,True,True
10k,flickr,10441843213,43,4,152,2698329253,_,2.7494145342643606e-06,True,False
10k,flickr,10446128125,44,1,116,14414061986,_,3.3826345315901563e-06,True,False
10k,flickr,10446128125,44,2,226,6098668510,_,3.4229772154503735e-06,True,False
10k,flickr,10446128125,44,3,199,4657718822,_,3.459432036834187e-06,True,False
10k,flickr,10446128125,44,4,82,11071986404,_,3.6177411857352126e-06,True,False
10k,flickr,10451898725,45,1,130,16012165838,_,2.5128256311290897e-06,True,False
10k,flickr,10451898725,45,2,212,5220919991,_,2.585305082902778e-06,True,False
10k,flickr,10451898725,45,3,26,10202025415,_,2.726901129790349e-06,True,False
10k,flickr,10451898725,45,4,206,4957886467,_,2.7733117349271197e-06,True,False
10k,flickr,10468313544,46,1,116,14414061986,_,1.2760565368807875e-06,True,True
10k,flickr,10468313544,46,2,208,5006362787,_,1.3522162589651998e-06,True,False
10k,flickr,10468313544,46,3,211,5194793239,_,1.6350028317901888e-06,True,False
10k,flickr,10468313544,46,4,188,3956341886,_,1.6810911347420188e-06,True,False
10k,flickr,10476442285,47,1,174,3416359816,_,7.799280865583569e-06,True,False
10k,flickr,10476442285,47,2,185,3828103578,_,7.812035619281232e-06,True,False
10k,flickr,10476442285,47,3,88,11765015695,_,8.115799573715776e-06,True,False
10k,flickr,10476442285,47,4,128,15799251138,_,8.152960617735516e-06,True,False
10k,flickr,10476446674,48,1,140,19306860381,_,1.245162252416776e-06,True,True
10k,flickr,10476446674,48,2,61,10659354545,_,1.257390863429464e-06,True,False
10k,flickr,10476446674,48,3,174,3416359816,_,1.2839014971177676e-06,True,False
10k,flickr,10476446674,48,4,202,4758950312,_,1.3099522675474873e-06,True,False
10k,flickr,10477544895,49,1,224,5991393107,_,1.8080737618220155e-06,True,False
10k,flickr,10477544895,49,2,20,10119736773,_,1.8107758705809829e-06,True,False
10k,flickr,10477544895,49,3,154,2778088729,_,2.0380296064104186e-06,True,False
10k,flickr,10477544895,49,4,249,9761803312,_,2.082543460346642e-06,True,False
10k,flickr,10481128583,50,1,193,4351373013,_,2.813217406583135e-06,True,False
10k,flickr,10481128583,50,2,113,14172932360,_,2.918385916927946e-06,True,False
10k,flickr,10481128583,50,3,183,3790233127,_,2.9765276394755347e-06,True,False
10k,flickr,10481128583,50,4,216,5480070309,_,2.9856059882149566e-06,True,False
10k,flickr,10520382525,51,1,10,10061269855,_,4.213888587401016e-06,True,False
10k,flickr,10520382525,51,2,56,10557361454,_,4.22434050051379e-06,True,False
10k,flickr,10520382525,51,3,45,10451898725,_,4.279859695088817e-06,True,False
10k,flickr,10520382525,51,4,67,10761625676,_,4.997118594474159e-06,True,False
10k,flickr,10545790805,52,1,217,5490101320,_,2.0184097593300976e-06,True,False
10k,flickr,10545790805,52,2,184,3801318146,_,2.0676136500696884e-06,True,False
10k,flickr,10545790805,52,3,97,12373955905,_,2.0820989448111504e-06,True,False
10k,flickr,10545790805,52,4,55,10555704135,_,2.095899162668502e-06,True,False
10k,flickr,10548273474,53,1,160,2897081671,_,5.36224979441613e-06,True,False
10k,flickr,10548273474,53,2,162,2907554899,_,5.3842072702536825e-06,True,False
10k,flickr,10548273474,53,3,164,2961466546,_,5.398429038905306e-06,True,False
10k,flickr,10548273474,53,4,241,8250285374,_,5.479279025166761e-06,True,False
10k,flickr,10549911663,54,1,126,15210828119,_,1.1437928151281085e-06,True,False
10k,flickr,10549911663,54,2,214,5303633386,_,1.2431482900865376e-06,True,False
10k,flickr,10549911663,54,3,58,10624261424,_,1.26374607134494e-06,True,False
10k,flickr,10549911663,54,4,247,9456627660,_,1.2757886906911153e-06,True,False
10k,flickr,10555704135,55,1,229,6289328021,_,2.548730435592006e-06,True,False
10k,flickr,10555704135,55,2,227,6158154336,_,2.714568836381659e-06,True,False
10k,flickr,10555704135,55,3,174,3416359816,_,2.7594664970820304e-06,True,False
10k,flickr,10555704135,55,4,170,3207674548,_,2.770552100628265e-06,True,False
10k,flickr,10557361454,56,1,81,11050409385,_,3.2292932701238897e-06,True,False
10k,flickr,10557361454,56,2,174,3416359816,_,3.2421471587440465e-06,True,False
10k,flickr,10557361454,56,3,247,9456627660,_,3.3670391985651804e-06,True,False
10k,flickr,10557361454,56,4,102,12599965145,_,3.6274514059186913e-06,True,False
10k,flickr,10610974774,57,1,109,13660204414,_,1.8292320191903855e-06,True,False
10k,flickr,10610974774,57,2,70,10796050285,_,2.1198100057517877e-06,True,False
10k,flickr,10610974774,57,3,111,13861270725,_,2.3091490675142268e-06,True,True
10k,flickr,10610974774,57,4,196,4543136011,_,2.58511386164173e-06,True,False
10k,flickr,10624261424,58,1,43,10441843213,_,1.7696916074783076e-06,True,False
10k,flickr,10624261424,58,2,150,2630218696,_,1.9689118744281586e-06,True,False
10k,flickr,10624261424,58,3,233,6897499873,_,2.0106667761865538e-06,True,True
10k,flickr,10624261424,58,4,54,10549911663,_,2.2293072561296867e-06,True,False
10k,flickr,10635080206,59,1,38,10409146004,_,3.2676018690835917e-06,True,False
10k,flickr,10635080206,59,2,236,7560517176,_,3.282718353148084e-06,True,False
10k,flickr,10635080206,59,3,33,10289643764,_,3.3017252007994102e-06,True,False
10k,flickr,10635080206,59,4,106,13409856383,_,3.3082931167882634e-06,True,False
10k,flickr,10654057765,60,1,189,4007045926,_,2.2236736185732298e-06,True,False
10k,flickr,10654057765,60,2,193,4351373013,_,2.3695945401414065e-06,True,False
10k,flickr,10654057765,60,3,190,4041216001,_,2.4121900423779152e-06,True,False
10k,flickr,10654057765,60,4,113,14172932360,_,2.4266253149107797e-06,True,False
10k,flickr,10659354545,61,1,220,5697766486,_,3.7195306390458427e-07,True,False
10k,flickr,10659354545,61,2,155,2808068937,_,3.8293200077532674e-07,True,True
10k,flickr,10659354545,61,3,36,10369815925,_,4.066565679750056e-07,True,False
10k,flickr,10659354545,61,4,52,10545790805,_,4.231940522458899e-07,True,False
10k,flickr,10666396623,62,1,45,10451898725,_,8.220935342251323e-06,True,False
10k,flickr,10666396623,62,2,149,2542659118,_,8.33373997011222e-06,True,False
10k,flickr,10666396623,62,3,117,14566072101,_,8.439104931312613e-06,True,False
10k,flickr,10666396623,62,4,28,10234680056,_,8.473464731650893e-06,True,False
10k,flickr,10667001125,63,1,14,10080652613,_,4.9874952310347e-06,True,False
10k,flickr,10667001125,63,2,242,8294094053,_,5.065385721536586e-06,True,False
10k,flickr,10667001125,63,3,65,10743985374,_,5.301589226291981e-06,True,False
10k,flickr,10667001125,63,4,91,12031178616,_,5.402438091550721e-06,True,False
10k,flickr,10701841844,64,1,90,12015590114,_,3.040455112568452e-06,True,False
10k,flickr,10701841844,64,2,97,12373955905,_,3.0936371331335977e-06,True,True
10k,flickr,10701841844,64,3,103,12729873904,_,3.152987119392492e-06,True,True
10k,flickr,10701841844,64,4,166,3052033339,_,3.170345280523179e-06,True,False
10k,flickr,10743985374,65,1,219,5607310495,_,2.6483394321985543e-06,True,False
10k,flickr,10743985374,65,2,220,5697766486,_,2.6553402676654514e-06,True,False
10k,flickr,10743985374,65,3,2,10008553263,_,2.762363237707177e-06,True,False
10k,flickr,10743985374,65,4,51,10520382525,_,2.8865576950920513e-06,True,False
10k,flickr,10751849775,66,1,51,10520382525,_,1.0954450999633991e-06,True,False
10k,flickr,10751849775,66,2,70,10796050285,_,1.195461436509504e-06,True,False
10k,flickr,10751849775,66,3,133,16419739420,_,1.2100118738089805e-06,True,False
10k,flickr,10751849775,66,4,176,3535748358,_,1.2191882206025184e-06,True,False
10k,flickr,10761625676,67,1,241,8250285374,_,4.446012553671608e-06,True,False
10k,flickr,10761625676,67,2,111,13861270725,_,4.495811026572483e-06,True,False
10k,flickr,10761625676,67,3,196,4543136011,_,4.508353868004633e-06,True,False
10k,flickr,10761625676,67,4,168,3109408703,_,4.80710241390625e-06,True,False
10k,flickr,10771238614,68,1,77,10979853044,_,3.3413316486985423e-06,True,False
10k,flickr,10771238614,68,2,88,11765015695,_,3.691752453960362e-06,True,False
10k,flickr,10771238614,68,3,172,3403348616,_,4.008459654869512e-06,True,False
10k,flickr,10771238614,68,4,138,17140316339,_,4.0103873288899194e-06,True,True
10k,flickr,10795023275,69,1,155,2808068937,_,3.307716269773664e-06,True,True
10k,flickr,10795023275,69,2,163,2935372113,_,3.557617446858785e-06,True,False
10k,flickr,10795023275,69,3,221,5801923729,_,3.5642444800032536e-06,True,False
10k,flickr,10795023275,69,4,148,2509250774,_,3.5881969324691454e-06,True,False
10k,flickr,10796050285,70,1,245,9060997789,_,2.4531523195037153e-06,True,False
10k,flickr,10796050285,70,2,136,16804898716,_,2.5507713417027844e-06,True,False
10k,flickr,10796050285,70,3,169,3202731977,_,2.8469144126574975e-06,True,False
10k,flickr,10796050285,70,4,174,3416359816,_,2.9166919830458937e-06,True,False
10k,flickr,10805310706,71,1,54,10549911663,_,8.218258699344005e-06,True,False
10k,flickr,10805310706,71,2,55,10555704135,_,8.225290002883412e-06,True,False
10k,flickr,10805310706,71,3,28,10234680056,_,8.345507012563758e-06,True,False
10k,flickr,10805310706,71,4,172,3403348616,_,8.423465260420926e-06,True,True
10k,flickr,10847897294,72,1,152,2698329253,_,7.819967322575394e-07,True,False
10k,flickr,10847897294,72,2,209,5130986168,_,9.398879114996816e-07,True,False
10k,flickr,10847897294,72,3,191,4180455681,_,9.79089122665755e-07,True,False
10k,flickr,10847897294,72,4,77,10979853044,_,9.965366416508914e-07,True,False
10k,flickr,10859255295,73,1,24,10165890496,_,1.990288410524954e-06,True,False
10k,flickr,10859255295,73,2,196,4543136011,_,2.0557847619784297e-06,True,False
10k,flickr,10859255295,73,3,181,3727937033,_,2.0656325432355516e-06,True,False
10k,flickr,10859255295,73,4,237,7623513024,_,2.103291990351863e-06,True,False
10k,flickr,10862172945,74,1,136,16804898716,_,1.8060624142890447e-06,True,False
10k,flickr,10862172945,74,2,130,16012165838,_,1.8832988644135185e-06,True,False
10k,flickr,10862172945,74,3,111,13861270725,_,1.9454944322205847e-06,True,False
10k,flickr,10862172945,74,4,96,12328837165,_,2.0099510038562585e-06,True,False
10k,flickr,10939270325,75,1,175,3484198977,_,1.4534605270455359e-06,True,False
10k,flickr,10939270325,75,2,176,3535748358,_,1.7041121509464574e-06,True,False
10k,flickr,10939270325,75,3,177,3568893693,_,1.7348929759464227e-06,True,False
10k,flickr,10939270325,75,4,3,10009662863,_,1.7413312889402732e-06,True,False
10k,flickr,10952523225,76,1,111,13861270725,_,8.160130164469592e-06,True,False
10k,flickr,10952523225,76,2,197,4576746825,_,8.426729436905589e-06,True,False
10k,flickr,10952523225,76,3,146,2465634368,_,8.484244062856305e-06,True,False
10k,flickr,10952523225,76,4,174,3416359816,_,8.689906280778814e-06,True,False
10k,flickr,10979853044,77,1,116,14414061986,_,4.696911673818249e-06,True,False
10k,flickr,10979853044,77,2,131,16101081359,_,4.707600510300836e-06,True,False
10k,flickr,10979853044,77,3,163,2935372113,_,4.75050410386757e-06,True,False
10k,flickr,10979853044,77,4,19,10119607346,_,4.791711944562849e-06,True,False
10k,flickr,10980225216,78,1,216,5480070309,_,3.2134048524312675e-06,True,False
10k,flickr,10980225216,78,2,221,5801923729,_,3.496653562251595e-06,True,False
10k,flickr,10980225216,78,3,79,11002352834,_,3.705575636558933e-06,True,True
10k,flickr,10980225216,78,4,196,4543136011,_,3.767712996705086e-06,True,False
10k,flickr,11002352834,79,1,239,7740990330,_,4.695752068073489e-06,True,False
10k,flickr,11002352834,79,2,138,17140316339,_,4.802299372386187e-06,True,False
10k,flickr,11002352834,79,3,226,6098668510,_,4.834288574784296e-06,True,False
10k,flickr,11002352834,79,4,66,10751849775,_,4.943968633597251e-06,True,False
10k,flickr,11036641226,80,1,33,10289643764,_,4.028697730973363e-06,True,False
10k,flickr,11036641226,80,2,201,4755507106,_,4.3329791878932156e-06,True,False
10k,flickr,11036641226,80,3,245,9060997789,_,4.497767804423347e-06,True,False
10k,flickr,11036641226,80,4,26,10202025415,_,4.588037427311065e-06,True,False
10k,flickr,11050409385,81,1,187,3908875350,_,8.713746524335875e-07,True,False
10k,flickr,11050409385,81,2,63,10667001125,_,1.0362384728068719e-06,True,False
10k,flickr,11050409385,81,3,142,2401957951,_,1.318211502621125e-06,True,False
10k,flickr,11050409385,81,4,156,2811549163,_,1.5297047184503754e-06,True,False
10k,flickr,11071986404,82,1,192,4303617148,_,1.0198317568210769e-06,True,False
10k,flickr,11071986404,82,2,4,10013411946,_,1.1155487982250634e-06,True,False
10k,flickr,11071986404,82,3,223,5906878321,_,1.1250904208282009e-06,True,False
10k,flickr,11071986404,82,4,53,10548273474,_,1.156416487901879e-06,True,False
10k,flickr,11101358996,83,1,64,10701841844,_,7.604290203744313e-06,True,True
10k,flickr,11101358996,83,2,161,2897653916,_,7.875974915805273e-06,True,False
10k,flickr,11101358996,83,3,246,9309351423,_,8.002207323443145e-06,True,False
10k,flickr,11101358996,83,4,220,5697766486,_,8.010439159988891e-06,True,False
10k,flickr,11154049584,84,1,245,9060997789,_,3.0424857868638355e-06,True,False
10k,flickr,11154049584,84,2,221,5801923729,_,3.3014077871484915e-06,True,False
10k,flickr,11154049584,84,3,26,10202025415,_,3.3140602226922056e-06,True,False
10k,flickr,11154049584,84,4,160,2897081671,_,3.333563881824375e-06,True,False
10k,flickr,11314266424,85,1,17,10110769444,_,3.0012433853698894e-06,True,False
10k,flickr,11314266424,85,2,206,4957886467,_,3.0288167636172147e-06,True,False
10k,flickr,11314266424,85,3,169,3202731977,_,3.029667368537048e-06,True,False
